"panel","variable","label","mean","men","women","p_gender","n"
"First Follow-up","lb_prosthesis_up","Upper prosthetic need",0.939157566302652,0.955555555555556,0.932754880694143,0.238313604931429,641
"First Follow-up","lb_prosthesis_down","Lower prosthetic need",0.925117004680187,0.905555555555556,0.932754880694143,0.2724119028433,641
"Second Follow-up","edad","Age",48.4661791590494,49.18,48.1964735516373,0.152722545540696,547
"Second Follow-up","lb_genero","Gender",0.725776965265082,0,1,,547
"Second Follow-up","casado_o_convive","Married or cohabitates",0.595978062157221,0.76,0.534005037783375,0.000000212888622012286,547
"Second Follow-up","lb_jefe_hogar","Head of household",0.747714808043876,0.946666666666667,0.672544080604534,0.00000000000000000100476904533337,547
"Second Follow-up","lb_residentes_totales","Number of residents at home",4.3217550274223,4.47333333333333,4.26448362720403,0.206563930600028,547
"Second Follow-up","lb_residentes_menores","Residents under 5 years at home",0.33826247689464,0.355704697986577,0.331632653061224,0.69358672941193,541
"Second Follow-up","lb_residentes_ninos","Residents between 5 and 18 years at home",1.18014705882353,1.1,1.21065989847716,0.266523085725082,544
"Second Follow-up","lb_residentes_adulto","Adults in HH",2.69835466179159,2.84666666666667,2.64231738035264,0.0707718738829956,547
"Second Follow-up","lb_residentes_adulto_mayor","Residents over 65 years at home",0.142857142857143,0.154362416107383,0.138381201044386,0.712950226904546,532
"Second Follow-up","ed_8menos","Education 8 or less years",0.244972577696527,0.206666666666667,0.259445843828715,0.185185286874151,547
"Second Follow-up","ed_9_11","Education between 9 and 11 years",0.193784277879342,0.22,0.183879093198992,0.35580295861628,547
"Second Follow-up","ed_12","Education 12 years",0.387568555758684,0.44,0.367758186397985,0.127198218410808,547
"Second Follow-up","ed_mas_12","Education more than 12 years",0.173674588665448,0.133333333333333,0.188916876574307,0.103344925203965,547
"Second Follow-up","lb_years_education","Years of education",10.7531992687386,10.8466666666667,10.7178841309824,0.581690929089384,547
"Second Follow-up","lb_employ","Employed",0.696526508226691,0.88,0.6272040302267,0.00000000000673577365201061,547
"Second Follow-up","lb_ingreso_th","Labor income (thousand pesos)",163.567163302752,243.7611,133.113769620253,0.00000000182453857748328,545
"Second Follow-up","lb_cont_formal","Has a formal contract",0.464351005484461,0.666666666666667,0.387909319899244,0.00000000199304429801623,547
"Second Follow-up","fonasa_1","FONASA A",0.322820037105751,0.251700680272109,0.349489795918367,0.024067383638395,539
"Second Follow-up","fonasa_2","FONASA B",0.291280148423006,0.285714285714286,0.293367346938776,0.86156824624456,539
"Second Follow-up","fonasa_3","FONASA C",0.274582560296846,0.272108843537415,0.275510204081633,0.937226483374516,539
"Second Follow-up","fonasa_4","FONASA D",0.111317254174397,0.19047619047619,0.0816326530612245,0.00214056509591007,539
"Second Follow-up","lb_ohip14","OHIP score",36.1188299817185,32.2133333333333,37.5944584382872,0.00000233834167591527,547
"Second Follow-up","lb_rosenberg_score","Rosenberg score",17.3308957952468,18.7133333333333,16.808564231738,0.0000027271460666242,547
"Second Follow-up","lb_dientes_falt_tot","Total missing teeth",10.9689213893967,11.16,10.896725440806,0.647026727066989,547
"Second Follow-up","lb_dientes_falt_front","Front missing teeth",1.54844606946984,1.72,1.48362720403023,0.276778913072583,547
"Second Follow-up","lb_prosthesis_up","Upper prosthetic need",0.945054945054945,0.946666666666667,0.944444444444444,0.91846524812701,546
"Second Follow-up","lb_prosthesis_down","Lower prosthetic need",0.93040293040293,0.92,0.934343434343434,0.573337919614295,546
